

Calculating E_bulk....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 11:42:42     -905.142230        0.0001


The energy of the Fe bulk system is -905.1422300964848 eV.
Potential: MACE(large)    GB: Sigma17(410)










Calculating E_bulk_sub....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 11:42:50     -906.286456        0.1387
BFGS:    1 11:42:58     -906.290721        0.1215
BFGS:    2 11:43:06     -906.307346        0.0309
BFGS:    3 11:43:13     -906.307954        0.0276
BFGS:    4 11:43:21     -906.311067        0.0135
BFGS:    5 11:43:28     -906.311149        0.0120
BFGS:    6 11:43:35     -906.311469        0.0037
BFGS:    7 11:43:42     -906.311471        0.0037
BFGS:    8 11:43:49     -906.311475        0.0037
BFGS:    9 11:43:57     -906.311478        0.0037
BFGS:   10 11:44:04     -906.311480        0.0037
BFGS:   11 11:44:11     -906.311482        0.0037
BFGS:   12 11:44:18     -906.311489        0.0037
BFGS:   13 11:44:25     -906.311504        0.0042
BFGS:   14 11:44:32     -906.311542        0.0051
BFGS:   15 11:44:39     -906.311635        0.0074
BFGS:   16 11:44:46     -906.311845        0.0109
BFGS:   17 11:44:53     -906.312265        0.0171
BFGS:   18 11:45:00     -906.312947        0.0245
BFGS:   19 11:45:07     -906.313796        0.0303
BFGS:   20 11:45:15     -906.314664        0.0306
BFGS:   21 11:45:22     -906.315543        0.0285
BFGS:   22 11:45:29     -906.316450        0.0229
BFGS:   23 11:45:36     -906.317173        0.0225
BFGS:   24 11:45:43     -906.317527        0.0160
BFGS:   25 11:45:50     -906.317676        0.0100
BFGS:   26 11:45:57     -906.317801        0.0100
BFGS:   27 11:46:04     -906.317958        0.0082
BFGS:   28 11:46:11     -906.318070        0.0043
BFGS:   29 11:46:18     -906.318104        0.0023
BFGS:   30 11:46:25     -906.318108        0.0010
BFGS:   31 11:46:33     -906.318109        0.0009
BFGS:   32 11:46:40     -906.318110        0.0008
BFGS:   33 11:46:47     -906.318111        0.0004
BFGS:   34 11:46:54     -906.318111        0.0003
BFGS:   35 11:47:01     -906.318111        0.0003
BFGS:   36 11:47:08     -906.318111        0.0002
BFGS:   37 11:47:15     -906.318111        0.0001
BFGS:   38 11:47:22     -906.318111        0.0001


The energy of the bulk system substituded by one Cr is -906.318111144802 eV.
Potential: MACE(large)    GB: Sigma17(410)










Calculating E_gb....

Using Materials Project MACE for MACECalculator with /shared/home/zhaolun/.cache/mace/5f5yavf3
Using float64 for MACECalculator, which is slower but more accurate. Recommended for geometry optimization.
      Step     Time          Energy         fmax
BFGS:    0 11:47:34    -1467.376053        0.6926
BFGS:    1 11:47:45    -1467.484229        0.6152
BFGS:    2 11:47:56    -1467.942546        0.3510
BFGS:    3 11:48:08    -1467.972800        0.3222
BFGS:    4 11:48:19    -1468.146612        0.1490
BFGS:    5 11:48:30    -1468.162034        0.1487
BFGS:    6 11:48:42    -1468.275121        0.1188
BFGS:    7 11:48:53    -1468.299629        0.1319
BFGS:    8 11:49:04    -1468.318618        0.1371
BFGS:    9 11:49:15    -1468.338193        0.1563
BFGS:   10 11:49:27    -1468.372158        0.1771
BFGS:   11 11:49:38    -1468.401780        0.1259
BFGS:   12 11:49:49    -1468.421923        0.1282
BFGS:   13 11:50:01    -1468.437937        0.1507
BFGS:   14 11:50:12    -1468.462102        0.1596
BFGS:   15 11:50:23    -1468.496316        0.1832
BFGS:   16 11:50:34    -1468.530056        0.1640
BFGS:   17 11:50:45    -1468.551331        0.1136
BFGS:   18 11:50:57    -1468.564881        0.1137
BFGS:   19 11:51:08    -1468.579934        0.1028
BFGS:   20 11:51:20    -1468.599711        0.1046
BFGS:   21 11:51:31    -1468.617507        0.0928
BFGS:   22 11:51:43    -1468.628789        0.0809
BFGS:   23 11:51:54    -1468.636924        0.0861
BFGS:   24 11:52:06    -1468.646054        0.0939
BFGS:   25 11:52:17    -1468.655016        0.0807
BFGS:   26 11:52:29    -1468.660375        0.0443
BFGS:   27 11:52:41    -1468.662822        0.0363
BFGS:   28 11:52:52    -1468.664796        0.0339
BFGS:   29 11:53:04    -1468.667250        0.0337
BFGS:   30 11:53:15    -1468.669255        0.0302
BFGS:   31 11:53:27    -1468.670233        0.0187
BFGS:   32 11:53:38    -1468.670721        0.0191
BFGS:   33 11:53:49    -1468.671299        0.0163
BFGS:   34 11:54:01    -1468.672126        0.0212
BFGS:   35 11:54:13    -1468.672937        0.0161
BFGS:   36 11:54:24    -1468.673496        0.0174
BFGS:   37 11:54:36    -1468.673939        0.0176
BFGS:   38 11:54:47    -1468.674539        0.0204
BFGS:   39 11:54:59    -1468.675344        0.0258
BFGS:   40 11:55:10    -1468.676016        0.0187
BFGS:   41 11:55:23    -1468.676317        0.0098
BFGS:   42 11:55:34    -1468.676441        0.0096
BFGS:   43 11:55:46    -1468.676569        0.0108
BFGS:   44 11:55:57    -1468.676745        0.0106
BFGS:   45 11:56:09    -1468.676888        0.0080
BFGS:   46 11:56:20    -1468.676952        0.0038
BFGS:   47 11:56:32    -1468.676977        0.0040
BFGS:   48 11:56:44    -1468.677002        0.0038
BFGS:   49 11:56:55    -1468.677036        0.0050
BFGS:   50 11:57:06    -1468.677062        0.0042
BFGS:   51 11:57:17    -1468.677075        0.0024
BFGS:   52 11:57:27    -1468.677082        0.0022
BFGS:   53 11:57:39    -1468.677090        0.0016
BFGS:   54 11:57:50    -1468.677097        0.0014
BFGS:   55 11:58:01    -1468.677100        0.0012
BFGS:   56 11:58:12    -1468.677101        0.0009
BFGS:   57 11:58:23    -1468.677102        0.0007
BFGS:   58 11:58:34    -1468.677103        0.0006
