

Relaxation Sigma11(3-32), FeCu_Lee....

      Step     Time          Energy          fmax
FIRE:    0 11:00:05     -175.840605        0.977667
FIRE:    1 11:00:05     -175.871465        0.923997
FIRE:    2 11:00:05     -175.927625        0.828557
FIRE:    3 11:00:05     -176.000819        0.712263
FIRE:    4 11:00:05     -176.083557        0.594993
FIRE:    5 11:00:05     -176.170833        0.488531
FIRE:    6 11:00:05     -176.263452        0.416408
FIRE:    7 11:00:05     -176.442972        1.244747
FIRE:    8 11:00:05     -176.594234        0.388597
FIRE:    9 11:00:05     -176.728423        0.343454
FIRE:   10 11:00:05     -176.884028        0.393033
FIRE:   11 11:00:05     -177.026162        0.314301
FIRE:   12 11:00:05     -177.137719        0.488113
FIRE:   13 11:00:05     -177.238498        0.609697
FIRE:   14 11:00:05     -177.342937        0.536293
FIRE:   15 11:00:05     -177.435985        0.255950
FIRE:   16 11:00:05     -177.496705        0.306674
FIRE:   17 11:00:05     -177.532176        0.307977
FIRE:   18 11:00:05     -177.547619        0.256012
FIRE:   19 11:00:05     -177.557080        0.218844
FIRE:   20 11:00:05     -177.572095        0.182509
FIRE:   21 11:00:05     -177.587238        0.133492
FIRE:   22 11:00:05     -177.598722        0.103586
FIRE:   23 11:00:05     -177.605965        0.113819
FIRE:   24 11:00:05     -177.610101        0.115513
FIRE:   25 11:00:05     -177.611823        0.078446
FIRE:   26 11:00:05     -177.612142        0.075437
FIRE:   27 11:00:05     -177.612740        0.069543
FIRE:   28 11:00:05     -177.613548        0.061014
FIRE:   29 11:00:05     -177.614471        0.050825
FIRE:   30 11:00:05     -177.615409        0.046562
FIRE:   31 11:00:05     -177.616271        0.046563
FIRE:   32 11:00:05     -177.616991        0.046561
FIRE:   33 11:00:05     -177.617590        0.046556
FIRE:   34 11:00:05     -177.618038        0.046551
FIRE:   35 11:00:05     -177.618377        0.046546
FIRE:   36 11:00:05     -177.618712        0.046538
FIRE:   37 11:00:05     -177.619161        0.046527
FIRE:   38 11:00:05     -177.619809        0.046517
FIRE:   39 11:00:05     -177.620670        0.046506
