

Relaxation Sigma3(1-12), FeMnNiCu_Bonny....

      Step     Time          Energy          fmax
FIRE:    0 11:00:05     -195.122319        1.778259
FIRE:    1 11:00:05     -195.249927        1.675750
FIRE:    2 11:00:05     -195.476211        1.491565
FIRE:    3 11:00:05     -195.746657        1.187700
FIRE:    4 11:00:05     -195.997752        0.802953
FIRE:    5 11:00:05     -196.189075        0.567993
FIRE:    6 11:00:05     -196.309933        0.490966
FIRE:    7 11:00:05     -196.374693        0.405727
FIRE:    8 11:00:05     -196.406402        0.496729
FIRE:    9 11:00:05     -196.410588        0.487855
FIRE:   10 11:00:05     -196.418745        0.470137
FIRE:   11 11:00:05     -196.430454        0.443667
FIRE:   12 11:00:05     -196.445119        0.408656
FIRE:   13 11:00:05     -196.462008        0.365772
FIRE:   14 11:00:05     -196.480317        0.316593
FIRE:   15 11:00:05     -196.499245        0.262556
FIRE:   16 11:00:05     -196.520004        0.199339
FIRE:   17 11:00:05     -196.541710        0.165683
FIRE:   18 11:00:05     -196.562966        0.144325
FIRE:   19 11:00:05     -196.582247        0.140701
FIRE:   20 11:00:05     -196.598838        0.205437
FIRE:   21 11:00:05     -196.613771        0.293772
FIRE:   22 11:00:05     -196.629490        0.337994
FIRE:   23 11:00:05     -196.648471        0.322384
FIRE:   24 11:00:05     -196.671621        0.251357
FIRE:   25 11:00:05     -196.697247        0.192528
FIRE:   26 11:00:05     -196.717788        0.161331
FIRE:   27 11:00:05     -196.726361        0.257482
FIRE:   28 11:00:05     -196.728675        0.234883
FIRE:   29 11:00:05     -196.732621        0.191515
FIRE:   30 11:00:05     -196.737068        0.131291
FIRE:   31 11:00:05     -196.740843        0.100176
FIRE:   32 11:00:05     -196.743200        0.077131
FIRE:   33 11:00:05     -196.744163        0.069766
FIRE:   34 11:00:05     -196.744420        0.109791
FIRE:   35 11:00:05     -196.744533        0.107546
FIRE:   36 11:00:05     -196.744750        0.103107
FIRE:   37 11:00:05     -196.745057        0.096574
FIRE:   38 11:00:05     -196.745429        0.088099
FIRE:   39 11:00:05     -196.745843        0.077887
FIRE:   40 11:00:05     -196.746270        0.066200
FIRE:   41 11:00:05     -196.746684        0.053367
FIRE:   42 11:00:05     -196.747103        0.038351
FIRE:   43 11:00:05     -196.747495        0.036579
FIRE:   44 11:00:05     -196.747840        0.036609
FIRE:   45 11:00:05     -196.748137        0.036637
FIRE:   46 11:00:05     -196.748428        0.036661
FIRE:   47 11:00:05     -196.748778        0.040581
FIRE:   48 11:00:05     -196.749255        0.044225
FIRE:   49 11:00:05     -196.749886        0.039889
FIRE:   50 11:00:05     -196.750623        0.036644
FIRE:   51 11:00:05     -196.751349        0.036602
FIRE:   52 11:00:05     -196.751975        0.036551
FIRE:   53 11:00:05     -196.752561        0.036509
FIRE:   54 11:00:05     -196.753242        0.036491
FIRE:   55 11:00:05     -196.754021        0.036504
FIRE:   56 11:00:05     -196.754784        0.036539
FIRE:   57 11:00:05     -196.755511        0.036564
FIRE:   58 11:00:05     -196.756285        0.036549
FIRE:   59 11:00:05     -196.757206        0.036488
FIRE:   60 11:00:05     -196.758341        0.036407
FIRE:   61 11:00:05     -196.759714        0.036333
FIRE:   62 11:00:05     -196.761542        0.036269
FIRE:   63 11:00:05     -196.763749        0.036206
FIRE:   64 11:00:05     -196.766415        0.036116
FIRE:   65 11:00:05     -196.769324        0.035934
FIRE:   66 11:00:05     -196.772154        0.038827
FIRE:   67 11:00:05     -196.772938        0.095708
FIRE:   68 11:00:05     -196.776418        0.035662
FIRE:   69 11:00:05     -196.776483        0.035657
FIRE:   70 11:00:05     -196.776594        0.035647
FIRE:   71 11:00:05     -196.776733        0.035635
FIRE:   72 11:00:05     -196.776899        0.035621
FIRE:   73 11:00:05     -196.777106        0.035607
FIRE:   74 11:00:05     -196.777353        0.035595
FIRE:   75 11:00:05     -196.777627        0.035583
FIRE:   76 11:00:05     -196.777948        0.035568
FIRE:   77 11:00:05     -196.778334        0.035550
FIRE:   78 11:00:05     -196.778809        0.035525
FIRE:   79 11:00:05     -196.779370        0.035492
FIRE:   80 11:00:05     -196.780043        0.035456
FIRE:   81 11:00:05     -196.780864        0.035417
FIRE:   82 11:00:05     -196.781844        0.035367
FIRE:   83 11:00:05     -196.783051        0.035300
FIRE:   84 11:00:05     -196.784520        0.035219
FIRE:   85 11:00:05     -196.786319        0.035125
FIRE:   86 11:00:05     -196.788505        0.034990
FIRE:   87 11:00:05     -196.791109        0.034865
FIRE:   88 11:00:05     -196.793992        0.034677
FIRE:   89 11:00:05     -196.795956        0.087578
FIRE:   90 11:00:05     -196.797884        0.034506
FIRE:   91 11:00:05     -196.796668        0.080875
FIRE:   92 11:00:05     -196.797346        0.060731
FIRE:   93 11:00:05     -196.798086        0.034475
FIRE:   94 11:00:05     -196.798248        0.034498
FIRE:   95 11:00:05     -196.798262        0.034497
FIRE:   96 11:00:05     -196.798288        0.034495
FIRE:   97 11:00:05     -196.798322        0.034492
FIRE:   98 11:00:05     -196.798362        0.034489
FIRE:   99 11:00:05     -196.798404        0.034485
