

Relaxation Sigma3(1-11), FeTiCoNiCuMoW_Zhou....

      Step     Time          Energy          fmax
FIRE:    0 11:00:05     -301.542464        1.799487
FIRE:    1 11:00:05     -301.677845        1.662735
FIRE:    2 11:00:05     -301.897154        1.438322
FIRE:    3 11:00:05     -302.136410        1.193721
FIRE:    4 11:00:05     -302.355458        0.984323
FIRE:    5 11:00:05     -302.546056        0.837180
FIRE:    6 11:00:05     -302.719263        0.726014
FIRE:    7 11:00:05     -302.886713        0.779205
FIRE:    8 11:00:05     -303.058215        0.896832
FIRE:    9 11:00:05     -303.192828        0.826337
FIRE:   10 11:00:05     -303.237551        0.714434
FIRE:   11 11:00:05     -303.249314        0.694970
FIRE:   12 11:00:05     -303.271653        0.656589
FIRE:   13 11:00:05     -303.302351        0.600382
FIRE:   14 11:00:05     -303.338456        0.527968
FIRE:   15 11:00:05     -303.376668        0.441475
FIRE:   16 11:00:05     -303.413769        0.343540
FIRE:   17 11:00:05     -303.447050        0.237430
FIRE:   18 11:00:05     -303.477207        0.173514
FIRE:   19 11:00:05     -303.501523        0.182888
FIRE:   20 11:00:05     -303.519148        0.174724
FIRE:   21 11:00:05     -303.532441        0.264756
FIRE:   22 11:00:05     -303.546441        0.347538
FIRE:   23 11:00:05     -303.566533        0.381586
FIRE:   24 11:00:05     -303.595344        0.352913
FIRE:   25 11:00:05     -303.629958        0.253710
FIRE:   26 11:00:05     -303.661442        0.149450
FIRE:   27 11:00:05     -303.680286        0.111409
FIRE:   28 11:00:05     -303.687869        0.255062
FIRE:   29 11:00:05     -303.690727        0.238896
FIRE:   30 11:00:05     -303.695822        0.207766
FIRE:   31 11:00:05     -303.702104        0.163983
FIRE:   32 11:00:05     -303.708407        0.114588
FIRE:   33 11:00:05     -303.713811        0.107426
FIRE:   34 11:00:05     -303.717952        0.099285
FIRE:   35 11:00:05     -303.721124        0.092912
FIRE:   36 11:00:05     -303.724325        0.095816
FIRE:   37 11:00:05     -303.728368        0.120813
FIRE:   38 11:00:05     -303.733824        0.123749
FIRE:   39 11:00:05     -303.740345        0.100318
FIRE:   40 11:00:05     -303.746192        0.050248
FIRE:   41 11:00:05     -303.748903        0.034108
FIRE:   42 11:00:05     -303.749076        0.033020
FIRE:   43 11:00:05     -303.749401        0.030908
FIRE:   44 11:00:05     -303.749842        0.028311
FIRE:   45 11:00:05     -303.750356        0.025533
FIRE:   46 11:00:05     -303.750904        0.022207
