

Relaxation Sigma9(2-21), M3GNet....

      Step     Time          Energy          fmax
BFGS:    0 11:00:05     -568.653320        1.659588
BFGS:    1 11:00:06     -568.714050        1.770144
BFGS:    2 11:00:06     -568.972351        2.431072
BFGS:    3 11:00:06     -568.943359        2.787979
BFGS:    4 11:00:06     -568.735229        2.909220
BFGS:    5 11:00:07     -568.466614        2.898355
BFGS:    6 11:00:07     -568.254089        2.861687
BFGS:    7 11:00:07     -568.124756        3.075888
BFGS:    8 11:00:07     -568.044983        3.261238
BFGS:    9 11:00:07     -568.024231        3.095733
BFGS:   10 11:00:08     -568.002380        2.890821
BFGS:   11 11:00:08     -567.982178        2.746545
BFGS:   12 11:00:08     -567.970581        2.661102
BFGS:   13 11:00:08     -567.975525        2.621809
BFGS:   14 11:00:08     -568.004395        2.680806
BFGS:   15 11:00:08     -568.044434        2.762001
BFGS:   16 11:00:09     -568.082581        2.808164
BFGS:   17 11:00:09     -568.106079        2.840357
BFGS:   18 11:00:09     -568.114380        2.941330
BFGS:   19 11:00:09     -568.126221        3.109584
BFGS:   20 11:00:09     -568.153992        3.227826
BFGS:   21 11:00:10     -568.181763        3.305418
BFGS:   22 11:00:10     -568.200867        3.375221
BFGS:   23 11:00:10     -568.214661        3.434868
BFGS:   24 11:00:10     -568.225342        3.487093
BFGS:   25 11:00:10     -568.236206        3.521225
BFGS:   26 11:00:11     -568.243774        3.554290
BFGS:   27 11:00:11     -568.250183        3.581365
BFGS:   28 11:00:11     -568.255127        3.605776
BFGS:   29 11:00:11     -568.260071        3.621900
BFGS:   30 11:00:11     -568.265930        3.632717
BFGS:   31 11:00:12     -568.269775        3.644837
BFGS:   32 11:00:12     -568.273743        3.652556
BFGS:   33 11:00:12     -568.277527        3.656585
BFGS:   34 11:00:12     -568.281677        3.656354
BFGS:   35 11:00:12     -568.285095        3.654677
BFGS:   36 11:00:13     -568.289429        3.644754
BFGS:   37 11:00:13     -568.291992        3.644111
BFGS:   38 11:00:13     -568.296387        3.631289
BFGS:   39 11:00:13     -568.298889        3.621108
BFGS:   40 11:00:14     -568.302002        3.606889
BFGS:   41 11:00:14     -568.304810        3.586033
BFGS:   42 11:00:14     -568.310120        3.560202
BFGS:   43 11:00:14     -568.313110        3.540134
BFGS:   44 11:00:15     -568.316101        3.517927
BFGS:   45 11:00:15     -568.319702        3.492847
BFGS:   46 11:00:15     -568.322876        3.467471
BFGS:   47 11:00:15     -568.325562        3.443180
BFGS:   48 11:00:16     -568.328674        3.417094
BFGS:   49 11:00:16     -568.332275        3.389944
BFGS:   50 11:00:16     -568.336975        3.359844
BFGS:   51 11:00:16     -568.342529        3.328456
BFGS:   52 11:00:17     -568.349121        3.295013
BFGS:   53 11:00:17     -568.356750        3.260421
BFGS:   54 11:00:17     -568.365723        3.223867
BFGS:   55 11:00:17     -568.376038        3.185263
BFGS:   56 11:00:18     -568.385376        3.152764
BFGS:   57 11:00:18     -568.396301        3.117363
BFGS:   58 11:00:18     -568.408386        3.081065
BFGS:   59 11:00:18     -568.421326        3.045350
BFGS:   60 11:00:19     -568.435608        3.008458
BFGS:   61 11:00:19     -568.450684        2.972460
BFGS:   62 11:00:19     -568.466919        2.935946
BFGS:   63 11:00:19     -568.483887        2.900715
BFGS:   64 11:00:20     -568.502502        2.863558
BFGS:   65 11:00:20     -568.521851        2.827448
BFGS:   66 11:00:20     -568.541626        2.793397
BFGS:   67 11:00:21     -568.562927        2.757618
BFGS:   68 11:00:21     -568.584900        2.722880
BFGS:   69 11:00:21     -568.609314        2.683569
BFGS:   70 11:00:21     -568.632935        2.650728
BFGS:   71 11:00:22     -568.657043        2.618619
BFGS:   72 11:00:22     -568.681824        2.586786
BFGS:   73 11:00:22     -568.708313        2.551558
BFGS:   74 11:00:22     -568.735046        2.518404
BFGS:   75 11:00:23     -568.762024        2.486869
BFGS:   76 11:00:23     -568.789551        2.458236
BFGS:   77 11:00:23     -568.818359        2.424192
BFGS:   78 11:00:23     -568.847168        2.392636
BFGS:   79 11:00:24     -568.877258        2.359223
BFGS:   80 11:00:24     -568.907532        2.327570
BFGS:   81 11:00:24     -568.937988        2.298546
BFGS:   82 11:00:25     -568.971252        2.261550
BFGS:   83 11:00:25     -569.003906        2.228744
BFGS:   84 11:00:25     -569.036560        2.197416
BFGS:   85 11:00:25     -569.069580        2.168280
BFGS:   86 11:00:26     -569.103516        2.128017
BFGS:   87 11:00:26     -569.138062        2.095755
BFGS:   88 11:00:26     -569.173096        2.063396
BFGS:   89 11:00:27     -569.208557        2.030640
BFGS:   90 11:00:27     -569.244751        1.997849
BFGS:   91 11:00:27     -569.281006        1.965533
BFGS:   92 11:00:27     -569.317627        1.933081
BFGS:   93 11:00:28     -569.354431        1.900710
BFGS:   94 11:00:28     -569.392151        1.866712
BFGS:   95 11:00:28     -569.430054        1.832955
BFGS:   96 11:00:28     -569.467346        1.800517
BFGS:   97 11:00:29     -569.504639        1.767872
BFGS:   98 11:00:29     -569.542114        1.733923
BFGS:   99 11:00:29     -569.579468        1.699056
BFGS:  100 11:00:29     -569.616577        1.663220
BFGS:  101 11:00:30     -569.653076        1.628138
BFGS:  102 11:00:30     -569.689270        1.590212
BFGS:  103 11:00:30     -569.724731        1.552168
BFGS:  104 11:00:31     -569.759705        1.513412
BFGS:  105 11:00:31     -569.793701        1.475799
BFGS:  106 11:00:31     -569.827026        1.438331
BFGS:  107 11:00:31     -569.859802        1.401147
BFGS:  108 11:00:32     -569.892029        1.364186
BFGS:  109 11:00:32     -569.923706        1.327143
BFGS:  110 11:00:32     -569.954712        1.289771
BFGS:  111 11:00:33     -569.985901        1.251167
BFGS:  112 11:00:33     -570.015503        1.217779
BFGS:  113 11:00:33     -570.045593        1.180008
BFGS:  114 11:00:33     -570.075256        1.142193
BFGS:  115 11:00:34     -570.104370        1.105919
BFGS:  116 11:00:34     -570.132202        1.073320
BFGS:  117 11:00:34     -570.159790        1.039231
BFGS:  118 11:00:34     -570.187317        1.003703
BFGS:  119 11:00:35     -570.214783        0.966847
BFGS:  120 11:00:35     -570.242126        0.929136
BFGS:  121 11:00:35     -570.268799        0.893008
BFGS:  122 11:00:36     -570.294739        0.857720
BFGS:  123 11:00:36     -570.320557        0.821398
BFGS:  124 11:00:36     -570.345947        0.785071
BFGS:  125 11:00:36     -570.370605        0.749808
BFGS:  126 11:00:37     -570.395020        0.713280
BFGS:  127 11:00:37     -570.418823        0.677550
BFGS:  128 11:00:37     -570.442200        0.641151
BFGS:  129 11:00:37     -570.465149        0.604698
BFGS:  130 11:00:38     -570.487549        0.566275
BFGS:  131 11:00:38     -570.509460        0.529290
BFGS:  132 11:00:38     -570.530945        0.491556
BFGS:  133 11:00:38     -570.552002        0.453079
BFGS:  134 11:00:39     -570.572510        0.414162
BFGS:  135 11:00:39     -570.592407        0.375242
BFGS:  136 11:00:39     -570.611694        0.336112
BFGS:  137 11:00:40     -570.630310        0.296515
BFGS:  138 11:00:40     -570.648438        0.270006
BFGS:  139 11:00:40     -570.665955        0.243966
BFGS:  140 11:00:40     -570.682861        0.218019
BFGS:  141 11:00:41     -570.699585        0.192129
BFGS:  142 11:00:41     -570.715820        0.165110
BFGS:  143 11:00:41     -570.732544        0.142667
BFGS:  144 11:00:41     -570.745483        0.130049
BFGS:  145 11:00:42     -570.759644        0.119460
BFGS:  146 11:00:42     -570.778137        0.149706
BFGS:  147 11:00:42     -570.786621        0.171192
BFGS:  148 11:00:43     -570.790039        0.157195
BFGS:  149 11:00:43     -570.793030        0.120240
BFGS:  150 11:00:43     -570.794006        0.110855
BFGS:  151 11:00:43     -570.798828        0.070812
BFGS:  152 11:00:44     -570.801758        0.072793
BFGS:  153 11:00:44     -570.804688        0.118242
BFGS:  154 11:00:44     -570.805481        0.133903
BFGS:  155 11:00:44     -570.806335        0.109897
BFGS:  156 11:00:45     -570.807678        0.076499
BFGS:  157 11:00:45     -570.809570        0.071979
BFGS:  158 11:00:45     -570.810974        0.067677
BFGS:  159 11:00:45     -570.814758        0.069218
BFGS:  160 11:00:46     -570.815063        0.067047
BFGS:  161 11:00:46     -570.817017        0.064419
BFGS:  162 11:00:46     -570.818420        0.068411
BFGS:  163 11:00:46     -570.820679        0.068109
BFGS:  164 11:00:47     -570.822021        0.064541
BFGS:  165 11:00:47     -570.824097        0.069722
BFGS:  166 11:00:47     -570.825073        0.083272
BFGS:  167 11:00:47     -570.825867        0.069629
BFGS:  168 11:00:47     -570.826660        0.051167
BFGS:  169 11:00:48     -570.827393        0.057153
BFGS:  170 11:00:48     -570.828186        0.051716
BFGS:  171 11:00:48     -570.828796        0.050422
BFGS:  172 11:00:48     -570.829468        0.031537
BFGS:  173 11:00:49     -570.829712        0.030961
BFGS:  174 11:00:49     -570.829895        0.033272
BFGS:  175 11:00:49     -570.830017        0.036934
BFGS:  176 11:00:49     -570.830139        0.029340
BFGS:  177 11:00:49     -570.830322        0.020443
BFGS:  178 11:00:50     -570.830566        0.022097
BFGS:  179 11:00:50     -570.830811        0.022704
BFGS:  180 11:00:50     -570.830933        0.015686
BFGS:  181 11:00:50     -570.830933        0.011933
BFGS:  182 11:00:51     -570.830933        0.015869
BFGS:  183 11:00:51     -570.830994        0.014675
BFGS:  184 11:00:51     -570.831055        0.011601
BFGS:  185 11:00:51     -570.831116        0.014194
BFGS:  186 11:00:51     -570.831238        0.014984
BFGS:  187 11:00:52     -570.831360        0.014496
BFGS:  188 11:00:52     -570.831360        0.015922
BFGS:  189 11:00:52     -570.831177        0.031299
BFGS:  190 11:00:52     -570.831299        0.024649
BFGS:  191 11:00:53     -570.831360        0.014162
BFGS:  192 11:00:53     -570.831421        0.014081
BFGS:  193 11:00:53     -570.832153        0.045747
BFGS:  194 11:00:53     -570.832336        0.040307
BFGS:  195 11:00:53     -570.833313        0.054752
BFGS:  196 11:00:54     -570.833923        0.074792
BFGS:  197 11:00:54     -570.834778        0.060753
BFGS:  198 11:00:54     -570.835999        0.040298
BFGS:  199 11:00:54     -570.836670        0.056144
BFGS:  200 11:00:55     -570.837402        0.066965
BFGS:  201 11:00:55     -570.838074        0.039842
BFGS:  202 11:00:55     -570.838623        0.035065
BFGS:  203 11:00:55     -570.838989        0.041842
BFGS:  204 11:00:55     -570.839355        0.034056
BFGS:  205 11:00:56     -570.839661        0.024712
BFGS:  206 11:00:56     -570.839966        0.023856
BFGS:  207 11:00:56     -570.840210        0.030928
BFGS:  208 11:00:56     -570.840393        0.026003
BFGS:  209 11:00:57     -570.840576        0.020992
BFGS:  210 11:00:57     -570.840820        0.025577
BFGS:  211 11:00:57     -570.840820        0.034783
BFGS:  212 11:00:57     -570.840881        0.031571
BFGS:  213 11:00:57     -570.841064        0.018018
BFGS:  214 11:00:58     -570.841248        0.015763
BFGS:  215 11:00:58     -570.841309        0.016216
BFGS:  216 11:00:58     -570.841614        0.013049
BFGS:  217 11:00:58     -570.841797        0.013839
BFGS:  218 11:00:59     -570.841797        0.023167
BFGS:  219 11:00:59     -570.841736        0.026606
BFGS:  220 11:00:59     -570.841858        0.015135
BFGS:  221 11:00:59     -570.842041        0.012717
BFGS:  222 11:00:59     -570.842102        0.013959
BFGS:  223 11:01:00     -570.842285        0.014401
BFGS:  224 11:01:00     -570.842346        0.017477
BFGS:  225 11:01:00     -570.842468        0.016181
BFGS:  226 11:01:00     -570.842529        0.015031
BFGS:  227 11:01:01     -570.842651        0.015219
BFGS:  228 11:01:01     -570.842712        0.013933
BFGS:  229 11:01:01     -570.842896        0.015176
BFGS:  230 11:01:01     -570.843018        0.013566
BFGS:  231 11:01:02     -570.843079        0.013959
BFGS:  232 11:01:02     -570.843140        0.014866
BFGS:  233 11:01:02     -570.843201        0.014905
BFGS:  234 11:01:02     -570.843262        0.017095
BFGS:  235 11:01:02     -570.843323        0.013582
BFGS:  236 11:01:03     -570.843384        0.017854
BFGS:  237 11:01:03     -570.843384        0.019095
BFGS:  238 11:01:03     -570.843506        0.018810
BFGS:  239 11:01:03     -570.843567        0.017375
BFGS:  240 11:01:04     -570.843628        0.013764
BFGS:  241 11:01:04     -570.843689        0.017277
BFGS:  242 11:01:04     -570.843689        0.016504
BFGS:  243 11:01:04     -570.843750        0.014924
BFGS:  244 11:01:04     -570.843750        0.012565
BFGS:  245 11:01:05     -570.843811        0.014068
BFGS:  246 11:01:05     -570.843811        0.019489
BFGS:  247 11:01:05     -570.843872        0.014653
BFGS:  248 11:01:05     -570.843994        0.011443
BFGS:  249 11:01:05     -570.844055        0.011857
BFGS:  250 11:01:06     -570.844116        0.018525
BFGS:  251 11:01:06     -570.844177        0.015251
BFGS:  252 11:01:06     -570.843750        0.018317
BFGS:  253 11:01:06     -570.844055        0.008925
BFGS:  254 11:01:07     -570.844116        0.007794
BFGS:  255 11:01:07     -570.844177        0.007740
BFGS:  256 11:01:07     -570.844177        0.007242
BFGS:  257 11:01:07     -570.844238        0.006532
BFGS:  258 11:01:08     -570.844299        0.007451
BFGS:  259 11:01:08     -570.844238        0.007424
BFGS:  260 11:01:08     -570.844177        0.011158
BFGS:  261 11:01:08     -570.844238        0.008654
BFGS:  262 11:01:08     -570.844299        0.006351
BFGS:  263 11:01:09     -570.844299        0.005124
BFGS:  264 11:01:09     -570.844238        0.005240
BFGS:  265 11:01:09     -570.844238        0.005861
BFGS:  266 11:01:09     -570.844238        0.005296
BFGS:  267 11:01:10     -570.844116        0.008225
BFGS:  268 11:01:10     -570.844238        0.007209
BFGS:  269 11:01:10     -570.844299        0.003799
BFGS:  270 11:01:10     -570.844299        0.004177
BFGS:  271 11:01:11     -570.844360        0.004074
BFGS:  272 11:01:11     -570.844360        0.004960
BFGS:  273 11:01:11     -570.844238        0.006917
BFGS:  274 11:01:11     -570.844238        0.004549
BFGS:  275 11:01:12     -570.844177        0.006029
BFGS:  276 11:01:12     -570.844238        0.003713
BFGS:  277 11:01:12     -570.844360        0.002550
BFGS:  278 11:01:12     -570.844299        0.002598
BFGS:  279 11:01:13     -570.844299        0.002564
BFGS:  280 11:01:13     -570.844360        0.002030
BFGS:  281 11:01:13     -570.844299        0.002312
BFGS:  282 11:01:13     -570.844299        0.002057
BFGS:  283 11:01:13     -570.844360        0.003052
BFGS:  284 11:01:14     -570.844360        0.002945
BFGS:  285 11:01:14     -570.844299        0.004070
BFGS:  286 11:01:14     -570.844299        0.002216
BFGS:  287 11:01:14     -570.838806        0.093494
BFGS:  288 11:01:15     -570.844299        0.003493
BFGS:  289 11:01:15     -570.844299        0.002507
BFGS:  290 11:01:15     -570.844299        0.001861
BFGS:  291 11:01:15     -570.844299        0.003773
BFGS:  292 11:01:16     -570.844299        0.003092
BFGS:  293 11:01:16     -570.844299        0.003028
BFGS:  294 11:01:16     -570.844299        0.002159
BFGS:  295 11:01:16     -570.844299        0.003796
BFGS:  296 11:01:17     -570.844299        0.001506
BFGS:  297 11:01:17     -570.844299        0.003056
BFGS:  298 11:01:17     -570.844360        0.002912
BFGS:  299 11:01:17     -570.844299        0.002239
BFGS:  300 11:01:18     -570.844299        0.001652
BFGS:  301 11:01:18     -570.844360        0.001410
BFGS:  302 11:01:18     -570.844299        0.003065
BFGS:  303 11:01:18     -570.844299        0.002900
BFGS:  304 11:01:19     -570.844299        0.001457
BFGS:  305 11:01:19     -570.844299        0.002579
BFGS:  306 11:01:19     -570.844299        0.002499
BFGS:  307 11:01:19     -570.844299        0.002652
BFGS:  308 11:01:19     -570.844299        0.002714
BFGS:  309 11:01:20     -570.844360        0.002306
BFGS:  310 11:01:20     -570.844360        0.001961
BFGS:  311 11:01:20     -570.844299        0.002900
BFGS:  312 11:01:20     -570.844360        0.002451
BFGS:  313 11:01:21     -570.844299        0.002159
BFGS:  314 11:01:21     -570.844360        0.002043
BFGS:  315 11:01:21     -570.844360        0.001781
BFGS:  316 11:01:21     -570.844360        0.001770
BFGS:  317 11:01:22     -570.844299        0.002829
BFGS:  318 11:01:22     -570.844360        0.002256
BFGS:  319 11:01:22     -570.844360        0.001917
BFGS:  320 11:01:22     -570.844360        0.002138
BFGS:  321 11:01:22     -570.844360        0.002081
BFGS:  322 11:01:23     -570.844299        0.002782
BFGS:  323 11:01:23     -570.844360        0.002148
BFGS:  324 11:01:23     -570.844360        0.003129
BFGS:  325 11:01:23     -570.844299        0.002185
BFGS:  326 11:01:24     -570.844299        0.002837
BFGS:  327 11:01:24     -570.844360        0.002066
BFGS:  328 11:01:24     -570.844360        0.003102
BFGS:  329 11:01:24     -570.844360        0.002194
BFGS:  330 11:01:25     -570.844299        0.002939
BFGS:  331 11:01:25     -570.844360        0.002056
BFGS:  332 11:01:25     -570.844360        0.003111
BFGS:  333 11:01:25     -570.844360        0.002198
BFGS:  334 11:01:26     -570.844360        0.003031
BFGS:  335 11:01:26     -570.844360        0.002056
BFGS:  336 11:01:26     -570.844360        0.003170
BFGS:  337 11:01:26     -570.844360        0.002200
BFGS:  338 11:01:26     -570.844360        0.003089
BFGS:  339 11:01:27     -570.844360        0.002038
BFGS:  340 11:01:27     -570.844360        0.003278
BFGS:  341 11:01:27     -570.844299        0.002225
BFGS:  342 11:01:27     -570.844360        0.003155
BFGS:  343 11:01:28     -570.844299        0.002030
BFGS:  344 11:01:28     -570.844360        0.003369
BFGS:  345 11:01:28     -570.844360        0.002239
BFGS:  346 11:01:28     -570.844299        0.003171
BFGS:  347 11:01:29     -570.844360        0.002014
BFGS:  348 11:01:29     -570.844360        0.003442
BFGS:  349 11:01:29     -570.844360        0.002264
BFGS:  350 11:01:29     -570.844299        0.003253
BFGS:  351 11:01:30     -570.844360        0.002020
BFGS:  352 11:01:30     -570.844360        0.003512
BFGS:  353 11:01:30     -570.844360        0.002278
BFGS:  354 11:01:30     -570.844299        0.003279
BFGS:  355 11:01:30     -570.844360        0.002020
BFGS:  356 11:01:31     -570.844360        0.003567
BFGS:  357 11:01:31     -570.844360        0.002292
BFGS:  358 11:01:31     -570.844299        0.003291
BFGS:  359 11:01:31     -570.844360        0.002023
BFGS:  360 11:01:32     -570.844360        0.003665
BFGS:  361 11:01:32     -570.844360        0.002319
BFGS:  362 11:01:32     -570.844299        0.003355
BFGS:  363 11:01:32     -570.844360        0.002021
BFGS:  364 11:01:33     -570.844360        0.003699
BFGS:  365 11:01:33     -570.844360        0.002335
BFGS:  366 11:01:33     -570.844299        0.003379
BFGS:  367 11:01:33     -570.844360        0.002017
BFGS:  368 11:01:33     -570.844360        0.003734
BFGS:  369 11:01:34     -570.844360        0.002348
BFGS:  370 11:01:34     -570.844299        0.003391
BFGS:  371 11:01:34     -570.844360        0.002016
BFGS:  372 11:01:34     -570.844360        0.003789
BFGS:  373 11:01:35     -570.844360        0.002368
BFGS:  374 11:01:35     -570.844299        0.003426
BFGS:  375 11:01:35     -570.844360        0.002025
BFGS:  376 11:01:35     -570.844360        0.003814
BFGS:  377 11:01:36     -570.844360        0.002369
BFGS:  378 11:01:36     -570.844299        0.003432
BFGS:  379 11:01:36     -570.844360        0.002015
BFGS:  380 11:01:36     -570.844360        0.003832
BFGS:  381 11:01:37     -570.844360        0.002383
BFGS:  382 11:01:37     -570.844360        0.003416
BFGS:  383 11:01:37     -570.844360        0.002008
BFGS:  384 11:01:37     -570.844360        0.003823
BFGS:  385 11:01:37     -570.844360        0.002390
BFGS:  386 11:01:38     -570.844360        0.003474
BFGS:  387 11:01:38     -570.844360        0.002019
BFGS:  388 11:01:38     -570.844360        0.003844
BFGS:  389 11:01:38     -570.844360        0.002389
BFGS:  390 11:01:39     -570.844299        0.003509
BFGS:  391 11:01:39     -570.844360        0.002029
BFGS:  392 11:01:39     -570.844360        0.003926
BFGS:  393 11:01:39     -570.844360        0.002411
BFGS:  394 11:01:40     -570.844299        0.003488
BFGS:  395 11:01:40     -570.844360        0.002022
BFGS:  396 11:01:40     -570.844360        0.003954
BFGS:  397 11:01:40     -570.844360        0.002422
BFGS:  398 11:01:40     -570.844299        0.003523
BFGS:  399 11:01:41     -570.844360        0.002027
BFGS:  400 11:01:41     -570.844360        0.003915
BFGS:  401 11:01:41     -570.844360        0.002415
BFGS:  402 11:01:41     -570.844360        0.003510
BFGS:  403 11:01:42     -570.844360        0.002020
BFGS:  404 11:01:42     -570.844360        0.003953
BFGS:  405 11:01:42     -570.844360        0.002427
BFGS:  406 11:01:42     -570.844299        0.003527
BFGS:  407 11:01:43     -570.844360        0.002026
BFGS:  408 11:01:43     -570.844360        0.003955
BFGS:  409 11:01:43     -570.844360        0.002429
BFGS:  410 11:01:43     -570.844299        0.003537
BFGS:  411 11:01:43     -570.844360        0.002028
BFGS:  412 11:01:44     -570.844360        0.003958
BFGS:  413 11:01:44     -570.844360        0.002428
BFGS:  414 11:01:44     -570.844299        0.003517
BFGS:  415 11:01:44     -570.844360        0.002010
BFGS:  416 11:01:45     -570.844360        0.004001
BFGS:  417 11:01:45     -570.844360        0.002449
BFGS:  418 11:01:45     -570.844299        0.003585
BFGS:  419 11:01:45     -570.844360        0.002028
BFGS:  420 11:01:46     -570.844360        0.003997
BFGS:  421 11:01:46     -570.844360        0.002447
BFGS:  422 11:01:46     -570.844299        0.003608
BFGS:  423 11:01:46     -570.844360        0.002042
BFGS:  424 11:01:46     -570.844360        0.003982
BFGS:  425 11:01:47     -570.844360        0.002436
BFGS:  426 11:01:47     -570.844299        0.003593
BFGS:  427 11:01:47     -570.844360        0.002034
BFGS:  428 11:01:47     -570.844360        0.004010
BFGS:  429 11:01:48     -570.844360        0.002449
BFGS:  430 11:01:48     -570.844360        0.003562
BFGS:  431 11:01:48     -570.844360        0.002028
BFGS:  432 11:01:48     -570.844360        0.004049
BFGS:  433 11:01:48     -570.844360        0.002459
BFGS:  434 11:01:49     -570.844360        0.003628
BFGS:  435 11:01:49     -570.844360        0.002040
BFGS:  436 11:01:49     -570.844299        0.003989
BFGS:  437 11:01:49     -570.844360        0.002436
BFGS:  438 11:01:50     -570.844360        0.003584
BFGS:  439 11:01:50     -570.844299        0.002030
BFGS:  440 11:01:50     -570.844299        0.004021
BFGS:  441 11:01:50     -570.844360        0.002454
BFGS:  442 11:01:50     -570.844360        0.003658
BFGS:  443 11:01:51     -570.844299        0.002052
BFGS:  444 11:01:51     -570.844360        0.004005
BFGS:  445 11:01:51     -570.844360        0.002445
BFGS:  446 11:01:51     -570.844360        0.003563
BFGS:  447 11:01:52     -570.844299        0.002030
BFGS:  448 11:01:52     -570.844360        0.004010
BFGS:  449 11:01:52     -570.844360        0.002453
BFGS:  450 11:01:52     -570.844360        0.003649
BFGS:  451 11:01:52     -570.844299        0.002047
BFGS:  452 11:01:53     -570.844360        0.004035
BFGS:  453 11:01:53     -570.844360        0.002456
BFGS:  454 11:01:53     -570.844360        0.003592
BFGS:  455 11:01:53     -570.844299        0.002028
BFGS:  456 11:01:54     -570.844299        0.003998
BFGS:  457 11:01:54     -570.844360        0.002453
BFGS:  458 11:01:54     -570.844360        0.003660
BFGS:  459 11:01:54     -570.844299        0.002051
BFGS:  460 11:01:54     -570.844360        0.004045
BFGS:  461 11:01:55     -570.844360        0.002457
BFGS:  462 11:01:55     -570.844360        0.003616
BFGS:  463 11:01:55     -570.844299        0.002031
BFGS:  464 11:01:55     -570.844360        0.004023
BFGS:  465 11:01:55     -570.844360        0.002456
BFGS:  466 11:01:56     -570.844360        0.003640
BFGS:  467 11:01:56     -570.844299        0.002049
BFGS:  468 11:01:56     -570.844360        0.004016
BFGS:  469 11:01:56     -570.844299        0.002453
BFGS:  470 11:01:57     -570.844360        0.003647
BFGS:  471 11:01:57     -570.844360        0.002038
BFGS:  472 11:01:57     -570.844360        0.004055
BFGS:  473 11:01:57     -570.844299        0.002464
BFGS:  474 11:01:58     -570.844299        0.003627
BFGS:  475 11:01:58     -570.844360        0.002038
BFGS:  476 11:01:58     -570.844360        0.004074
BFGS:  477 11:01:58     -570.844360        0.002467
BFGS:  478 11:01:58     -570.844360        0.003614
BFGS:  479 11:01:59     -570.844360        0.002036
BFGS:  480 11:01:59     -570.844360        0.004078
BFGS:  481 11:01:59     -570.844360        0.002472
BFGS:  482 11:01:59     -570.844360        0.003660
BFGS:  483 11:02:00     -570.844299        0.002045
BFGS:  484 11:02:00     -570.844360        0.004063
BFGS:  485 11:02:00     -570.844360        0.002465
BFGS:  486 11:02:00     -570.844360        0.003641
BFGS:  487 11:02:00     -570.844360        0.002046
BFGS:  488 11:02:01     -570.844360        0.004072
BFGS:  489 11:02:01     -570.844360        0.002464
BFGS:  490 11:02:01     -570.844360        0.003665
BFGS:  491 11:02:01     -570.844360        0.002051
BFGS:  492 11:02:02     -570.844360        0.004053
BFGS:  493 11:02:02     -570.844360        0.002460
BFGS:  494 11:02:02     -570.844299        0.003642
BFGS:  495 11:02:02     -570.844360        0.002051
BFGS:  496 11:02:02     -570.844360        0.004077
BFGS:  497 11:02:03     -570.844360        0.002462
BFGS:  498 11:02:03     -570.844360        0.003666
BFGS:  499 11:02:03     -570.844360        0.002048
BFGS:  500 11:02:03     -570.844299        0.004063
BFGS:  501 11:02:04     -570.844299        0.002460
BFGS:  502 11:02:04     -570.844360        0.003661
BFGS:  503 11:02:04     -570.844360        0.002056
BFGS:  504 11:02:04     -570.844360        0.004091
BFGS:  505 11:02:04     -570.844360        0.002468
BFGS:  506 11:02:05     -570.844360        0.003643
BFGS:  507 11:02:05     -570.844360        0.002037
BFGS:  508 11:02:05     -570.844299        0.004073
BFGS:  509 11:02:05     -570.844360        0.002473
BFGS:  510 11:02:06     -570.844360        0.003649
BFGS:  511 11:02:06     -570.844360        0.002042
BFGS:  512 11:02:06     -570.844360        0.004093
BFGS:  513 11:02:06     -570.844360        0.002474
BFGS:  514 11:02:06     -570.844360        0.003650
BFGS:  515 11:02:07     -570.844360        0.002043
BFGS:  516 11:02:07     -570.844360        0.004032
BFGS:  517 11:02:07     -570.844360        0.002454
BFGS:  518 11:02:07     -570.844299        0.003687
BFGS:  519 11:02:08     -570.844360        0.002060
BFGS:  520 11:02:08     -570.844360        0.004098
